FilePath,Package,ClassName,FieldName,Id,parentId,FieldType,Annotations
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,ncfestmisccost,743,,BigDecimal,"@GridField(name = ""ncfestmisccost""), @InforField(xpath = ""TrackingDetails/ESTIMATEDMISCELLANEOUSCOST"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,ncftotalestcost,744,,BigDecimal,"@GridField(name = ""ncftotalestcost""), @InforField(xpath = ""TrackingDetails/ESTIMATEDTOTALCOST"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\InforCase.java,ch.cern.eam.wshub.core.services.workorders.entities,InforCase,needs,745,,int,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\InforCase.java,ch.cern.eam.wshub.core.services.workorders.entities,InforCase,needsDone,746,,int,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\InforCase.java,ch.cern.eam.wshub.core.services.workorders.entities,InforCase,needsUndone,747,,int,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,newCheckListCode,748,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\Part.java,ch.cern.eam.wshub.core.services.material.entities,Part,newCode,749,,String,@Transient
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentReplacement.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentReplacement,newEquipment,750,431,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentReplacement.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentReplacement,newEquipmentDesc,751,431,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentReplacement.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentReplacement,newEquipmentStatus,752,431,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentStructure.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentStructure,newParentCode,753,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentStructure.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentStructure,newParentDesc,754,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\EquipmentStructure.java,ch.cern.eam.wshub.core.services.equipment.entities,EquipmentStructure,newParentType,755,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,newWorkOrderCode,756,769,String,@ManyToOne
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,nextInspectDate,757,,Date,"@GridField(name = ""nextinspectdate""), @InforField(xpath = ""TrackingDetails/NEXTINSPECTIONDATE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,nextInspectDateOverride,758,,Date,"@Setter, @GridField(name = ""nextinspectdateoverride""), @InforField(xpath = ""TrackingDetails/NEXTINSPECTIONDATEOVERRIDE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,nonConformityCode,759,,String,"@GridField(name = ""nonconformity""), @InforField(xpath = { ""NONCONFORMITYOBSERVATIONID/NONCONFORMITYCODE"", ""NONCONFORMITYID/STANDARDENTITYCODE"" })"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,nonConformityNote,760,,String,"@GridField(name = ""nonconformitynote""), @InforField(xpath = ""NONCONFORMITYNOTE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,nonConformityObservationService,761,,NonConformityObservationService,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,nonconformityService,762,,NonconformityService,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,nonPoReceiptPartService,763,,NonPoReceiptPartService,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\client\InforClient.java,ch.cern.eam.wshub.core.client,InforClient,nonPoReceiptService,764,,NonPoReceiptService,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,notApplicableOption,765,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\equipment\entities\NonConformityObservation.java,ch.cern.eam.wshub.core.services.equipment.entities,NonConformityObservation,note,766,,String,"@GridField(name = ""note""), @InforField(xpath = ""NOTE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistSignature.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistSignature,note,767,,String,"@InforField(xpath = ""ACTIVITYID/ACTIVITYNOTE"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,notes,768,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrder.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrder,number,769,,String,"@Column(name = ""EVT_CODE""), @Id, @InforField(xpath = ""WORKORDERID/JOBNUM"")"
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\material\entities\BuildKitParam.java,ch.cern.eam.wshub.core.services.material.entities,BuildKitParam,numberofKit,770,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\userdefinedscreens\entities\UDLValue.java,ch.cern.eam.wshub.core.services.userdefinedscreens.entities,UDLValue,numberValue,771,,BigDecimal,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\grids\customfields\GridCustomFieldHandler.java,ch.cern.eam.wshub.core.services.grids.customfields,GridCustomFieldHandler,NUMERICAL_VALUE,772,,String,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,numericValue,773,,BigDecimal,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\WorkOrderActivityChecklistItem.java,ch.cern.eam.wshub.core.services.workorders.entities,WorkOrderActivityChecklistItem,numericValue2,774,,BigDecimal,
C:\Users\Seba\IdeaProjects\eam-light-backend\eam-wshub-core\src\main\java\ch\cern\eam\wshub\core\services\workorders\entities\RouteEquipment.java,ch.cern.eam.wshub.core.services.workorders.entities,RouteEquipment,objRType,775,,String,"@Column(name = ""ROB_OBRTYPE"")"
